Title,Artist,Album,File_Path,Cover_Path,Lowest_Pitch,First_Quartile_Pitch,Medium_Pitch,Third_Quartile_Pitch,Highest_Pitch
"2049","PA PUN BAND","2049","./Music/2049/PA PUN BAND - 2049.mp3","./Music/2049/cover.jpg"
"SKYWALKER","PA PUN BAND","2049","./Music/2049/PA PUN BAND - SKYWALKER.mp3","./Music/2049/cover.jpg"
"To: 2049-2019","PA PUN BAND","2049","./Music/2049/PA PUN BAND - To- 2049-2019.mp3","./Music/2049/cover.jpg"
"後照鏡","PA PUN BAND","2049","./Music/2049/PA PUN BAND - 後照鏡.mp3","./Music/2049/cover.jpg"
"戀愛.Online","PA PUN BAND","2049","./Music/2049/PA PUN BAND - 戀愛.Online.mp3","./Music/2049/cover.jpg"
"我沒有用, 沒辦法給你想要的生活","PA PUN BAND","2049","./Music/2049/PA PUN BAND - 我沒有用, 沒辦法給你想要的生活.mp3","./Music/2049/cover.jpg"
"月旁月光","PA PUN BAND","2049","./Music/2049/PA PUN BAND - 月旁月光.mp3","./Music/2049/cover.jpg"
"當你在最需要的時候","PA PUN BAND","2049","./Music/2049/PA PUN BAND - 當你在最需要的時候.mp3","./Music/2049/cover.jpg"
"給時間多點時間","PA PUN BAND","2049","./Music/2049/PA PUN BAND - 給時間多點時間.mp3","./Music/2049/cover.jpg"
"之外","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 之外.mp3","./Music/C'mon In~/cover.jpg"
"傅科擺","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 傅科擺.mp3","./Music/C'mon In~/cover.jpg"
"右上角","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 右上角.mp3","./Music/C'mon In~/cover.jpg"
"床上的黑洞","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 床上的黑洞.mp3","./Music/C'mon In~/cover.jpg"
"披風","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 披風.mp3","./Music/C'mon In~/cover.jpg"
"收心操","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 收心操.mp3","./Music/C'mon In~/cover.jpg"
"放","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 放.mp3","./Music/C'mon In~/cover.jpg"
"海膽","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 海膽.mp3","./Music/C'mon In~/cover.jpg"
"誰來剪月光","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 誰來剪月光.mp3","./Music/C'mon In~/cover.jpg"
"零下幾分鐘","Eason Chan","C'mon in~","./Music/C'mon In~/Eason Chan - 零下幾分鐘.mp3","./Music/C'mon In~/cover.jpg"
"Folk Song for You","DSPS","Fully I","./Music/Fully I/DSPS - Folk Song for You.mp3","./Music/Fully I/cover.jpg"
"Fully I","DSPS","Fully I","./Music/Fully I/DSPS - Fully I.mp3","./Music/Fully I/cover.jpg"
"三月的街頭","DSPS","Fully I","./Music/Fully I/DSPS - 三月的街頭.mp3","./Music/Fully I/cover.jpg"
"土耳其藍的夢","DSPS","Fully I","./Music/Fully I/DSPS - 土耳其藍的夢.mp3","./Music/Fully I/cover.jpg"
"It's True","Tanya Chua","Goodbye & Hello","./Music/Goodbye & Hello/Tanya Chua - It's True.mp3","./Music/Goodbye & Hello/cover.jpg"
"化學實驗","Tanya Chua","Goodbye & Hello","./Music/Goodbye & Hello/Tanya Chua - 化學實驗.mp3","./Music/Goodbye & Hello/cover.jpg"
"如果你愛我","Tanya Chua","Goodbye & Hello","./Music/Goodbye & Hello/Tanya Chua - 如果你愛我.mp3","./Music/Goodbye & Hello/cover.jpg"
"晨間新聞","Tanya Chua","Goodbye & Hello","./Music/Goodbye & Hello/Tanya Chua - 晨間新聞.mp3","./Music/Goodbye & Hello/cover.jpg"
"當你離開的時候","Tanya Chua","Goodbye & Hello","./Music/Goodbye & Hello/Tanya Chua - 當你離開的時候.mp3","./Music/Goodbye & Hello/cover.jpg"
