ID,Title,Artist,Album,File_Path,Cover_Path,First_Comment,Lowest_Pitch,First_Quartile_Pitch,Medium_Pitch,Third_Quartile_Pitch,Highest_Pitch
0,2049,PA PUN BAND,2049,./Music/2049/PA PUN BAND - 2049.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=UmyK9DHzTWs,47,57,62,66,71
1,SKYWALKER,PA PUN BAND,2049,./Music/2049/PA PUN BAND - SKYWALKER.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=fGu_QJcKxKI,48,55,57,65,69
2,To: 2049-2019,PA PUN BAND,2049,./Music/2049/PA PUN BAND - To- 2049-2019.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=CPL77uVgDyc,44,52,56,61,64
3,後照鏡,PA PUN BAND,2049,./Music/2049/PA PUN BAND - 後照鏡.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=lQDsUf3hFWo,43,57,59,60,67
4,戀愛.Online,PA PUN BAND,2049,./Music/2049/PA PUN BAND - 戀愛.Online.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=CcMHMFtI_30,46,58,64,65,67
5,"我沒有用, 沒辦法給你想要的生活",PA PUN BAND,2049,"./Music/2049/PA PUN BAND - 我沒有用, 沒辦法給你想要的生活.mp3",./Cover/2049.jpg,https://music.youtube.com/watch?v=OgraS_sasxs,47,52,56,64,68
6,月旁月光,PA PUN BAND,2049,./Music/2049/PA PUN BAND - 月旁月光.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=5tK1nSsbLR8,44,52,57,61,64
7,當你在最需要的時候,PA PUN BAND,2049,./Music/2049/PA PUN BAND - 當你在最需要的時候.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=9rIF6QQKj44,47,52,56,60,78
8,給時間多點時間,PA PUN BAND,2049,./Music/2049/PA PUN BAND - 給時間多點時間.mp3,./Cover/2049.jpg,https://music.youtube.com/watch?v=IEnKGV6eT1Y,47,54,59,64,69
9,之外,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 之外.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=AgYuwa42mdI,49,56,59,64,73
10,傅科擺,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 傅科擺.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=UEe91jH8CnI,52,56,62,64,67
11,右上角,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 右上角.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=2Q6yeSdKseg,50,56,59,64,76
12,床上的黑洞,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 床上的黑洞.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=LVfw7Isc808,46,60,62,65,72
13,披風,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 披風.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=V6dPR7pTs9U,48,55,60,62,72
14,收心操,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 收心操.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=EXg9LJeepwg,46,58,60,65,81
15,放,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 放.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=AklogIbN5lY,52,59,62,66,76
